Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
33,2.93,1.43,1.0,1.66,1.16,2.93,5.5,1.37,9.36,Highly maintainable
34,1.48,3.14,1.5,1.6,1.82,1.32,10.0,1.58,7.95,Highly maintainable
35,4.7,1.67,1.0,1.0,1.21,4.7,5.5,1.84,9.03,Highly maintainable
36,2.12,1.64,2.26,5.82,1.25,3.25,10.0,3.05,8.1,Highly maintainable
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
38,1.4,2.8,1.5,1.29,1.51,1.8,10.0,1.5,8.52,Highly maintainable
39,1.56,2.29,1.67,1.89,1.77,2.12,10.0,2.28,8.03,Highly maintainable
40,2.34,1.67,1.0,1.0,1.21,5.02,5.5,1.61,10.0,Highly maintainable
41,1.64,1.0,1.0,1.0,1.21,1.64,5.5,1.15,9.1,Highly maintainable
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
43,6.62,1.7,1.0,1.0,1.21,6.62,5.5,2.33,8.88,Highly maintainable
44,1.38,1.37,1.42,4.73,1.34,2.12,5.5,2.1,8.92,Highly maintainable
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
46,1.32,2.93,1.17,1.98,1.48,1.16,10.0,1.3,8.49,Highly maintainable
47,3.41,1.81,1.59,1.0,1.32,5.66,10.0,2.68,8.45,Highly maintainable
48,1.16,3.57,1.25,5.79,2.93,1.16,10.0,1.51,8.55,Highly maintainable
49,1.08,2.29,1.08,2.44,1.64,1.32,5.5,1.58,8.87,Highly maintainable
50,2.29,1.72,2.51,1.0,1.4,5.98,10.0,3.43,8.11,Highly maintainable
51,1.8,3.31,1.17,1.0,1.26,1.64,10.0,1.32,8.52,Highly maintainable
52,3.89,1.0,1.0,1.0,1.85,3.89,5.5,3.65,7.79,Highly maintainable
53,3.41,1.51,1.17,1.0,1.31,3.25,10.0,1.95,8.34,Highly maintainable
54,2.23,1.56,2.43,1.0,1.49,4.7,10.0,2.75,8.11,Highly maintainable
55,1.32,1.64,1.25,3.27,1.21,1.32,5.5,1.85,8.45,Highly maintainable
56,2.45,1.57,1.34,1.96,1.31,2.45,10.0,1.75,8.48,Highly maintainable
57,9.36,1.57,1.5,1.99,1.27,9.36,10.0,4.28,7.84,Highly maintainable
58,1.54,1.77,1.0,4.34,1.21,2.61,5.5,1.92,9.6,Highly maintainable
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
60,4.21,1.45,1.0,1.0,1.21,4.21,5.5,1.83,8.97,Highly maintainable
61,5.5,1.78,1.17,1.42,1.22,5.5,5.5,2.16,8.86,Highly maintainable
62,3.57,1.16,2.43,1.08,1.42,6.14,10.0,4.45,7.37,Moderately maintainable
63,5.18,1.84,1.0,1.22,1.2,1.0,5.5,1.93,6.55,Moderately maintainable
64,1.32,2.93,1.25,2.15,1.64,1.32,10.0,1.5,8.42,Highly maintainable
65,3.41,1.77,1.93,1.0,1.4,3.41,10.0,2.09,7.85,Highly maintainable
66,1.32,3.41,1.42,2.49,1.38,2.29,10.0,1.95,8.84,Highly maintainable
67,1.8,1.64,1.42,2.13,1.25,2.61,10.0,2.07,8.6,Highly maintainable
68,1.32,6.14,1.0,4.19,2.39,1.32,5.5,1.52,8.95,Highly maintainable
69,2.61,1.64,1.08,3.16,1.23,2.45,5.5,1.96,8.79,Highly maintainable
70,1.4,1.26,1.08,1.0,1.24,1.64,5.5,1.22,9.09,Highly maintainable
71,6.95,1.63,2.01,1.63,1.27,5.5,10.0,2.75,7.64,Highly maintainable
72,1.64,1.0,1.17,2.6,1.54,1.64,5.5,1.89,8.47,Highly maintainable
73,1.19,2.65,1.0,1.14,1.54,2.12,5.5,2.28,8.8,Highly maintainable
74,6.3,3.81,10.0,4.19,2.32,6.3,10.0,10.0,4.76,Difficult to maintain
75,1.64,2.61,1.08,1.0,1.38,1.48,5.5,1.64,8.35,Highly maintainable
76,1.32,1.0,1.0,1.0,1.21,1.64,5.5,1.2,9.24,Highly maintainable
77,3.73,1.53,1.08,2.85,1.23,3.73,10.0,2.36,8.61,Highly maintainable
78,1.64,2.61,1.59,5.02,1.43,1.64,10.0,2.0,8.19,Highly maintainable
79,1.64,2.93,1.25,2.44,1.46,1.64,10.0,1.46,8.65,Highly maintainable
80,3.25,2.84,1.25,1.59,1.45,2.93,10.0,2.11,8.21,Highly maintainable
81,2.12,4.31,2.09,6.09,1.47,2.12,10.0,2.55,7.81,Highly maintainable
82,2.12,2.29,2.01,2.05,2.04,1.32,10.0,2.39,6.77,Moderately maintainable
83,3.57,2.45,1.34,3.3,1.34,3.57,5.5,2.93,8.29,Highly maintainable
84,1.96,1.86,1.34,1.57,1.36,1.8,10.0,1.51,8.36,Highly maintainable
85,1.64,2.29,1.34,2.23,1.75,1.48,10.0,1.6,8.22,Highly maintainable
86,1.96,1.32,1.34,1.0,1.33,2.77,10.0,2.07,8.4,Highly maintainable
87,2.02,1.95,1.59,3.01,1.15,4.05,10.0,2.61,8.85,Highly maintainable
88,1.13,1.0,1.0,1.09,1.21,4.21,5.5,2.16,9.98,Highly maintainable
89,6.62,1.7,1.25,1.08,1.25,6.62,10.0,2.29,8.55,Highly maintainable
90,1.24,1.43,1.42,2.69,1.57,1.48,10.0,1.69,8.41,Highly maintainable
91,2.93,2.18,1.76,7.04,1.24,2.93,10.0,3.48,7.74,Highly maintainable
92,6.95,1.76,1.0,3.64,1.21,6.95,5.5,4.5,8.34,Highly maintainable
93,4.54,1.7,1.0,1.0,1.21,4.54,5.5,1.78,9.06,Highly maintainable
94,1.16,3.57,1.34,4.95,1.75,1.16,10.0,1.48,8.56,Highly maintainable
95,1.38,2.65,1.59,1.53,1.24,1.96,5.5,2.53,8.1,Highly maintainable
96,2.93,2.39,1.59,1.87,1.16,2.61,10.0,1.7,8.32,Highly maintainable
97,1.8,1.71,3.1,2.58,1.82,4.21,10.0,3.72,7.74,Highly maintainable
98,1.88,1.58,1.0,1.18,1.26,2.77,5.5,1.57,9.37,Highly maintainable
99,5.18,1.0,1.08,1.23,1.34,5.18,5.5,2.31,8.71,Highly maintainable
100,1.48,1.86,1.59,4.66,2.25,1.48,10.0,1.58,8.36,Highly maintainable
101,2.61,1.64,1.08,1.0,1.25,2.61,10.0,1.29,8.97,Highly maintainable
102,1.16,2.29,1.0,3.11,7.32,1.16,5.5,2.1,8.04,Highly maintainable
103,1.48,1.86,1.17,1.37,1.21,1.48,10.0,1.39,8.56,Highly maintainable
104,2.93,1.0,1.5,2.86,1.92,2.61,5.5,3.3,7.56,Highly maintainable
105,2.29,1.32,1.42,1.0,1.31,2.29,10.0,1.65,8.25,Highly maintainable
106,2.77,2.05,1.67,1.67,1.21,2.29,10.0,1.42,8.35,Highly maintainable
107,2.37,1.68,1.25,1.0,1.31,3.73,10.0,2.19,8.67,Highly maintainable
108,2.77,1.7,1.34,2.54,1.21,2.77,5.5,1.41,9.16,Highly maintainable
109,3.89,1.0,2.35,2.41,1.42,3.89,5.5,2.42,7.97,Highly maintainable
110,1.34,1.83,2.09,5.27,1.4,3.73,5.5,3.86,8.59,Highly maintainable
111,1.72,2.0,1.84,1.15,1.54,2.29,10.0,2.23,7.86,Highly maintainable
112,1.32,2.29,1.42,1.0,1.32,1.16,10.0,1.43,7.96,Highly maintainable
113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
114,1.32,1.64,1.0,5.69,1.21,1.32,5.5,1.27,9.4,Highly maintainable
115,1.38,1.55,1.08,1.94,1.41,2.12,5.5,1.48,9.41,Highly maintainable
116,1.0,1.0,2.01,10.0,1.0,1.0,1.0,2.54,8.26,Highly maintainable
117,1.32,1.96,1.25,1.95,1.83,1.64,10.0,2.0,8.25,Highly maintainable
118,1.48,1.43,1.67,2.36,2.12,1.8,10.0,2.23,7.88,Highly maintainable
119,3.57,1.56,1.0,1.62,1.22,3.57,5.5,1.68,9.16,Highly maintainable
120,2.61,1.77,1.25,1.0,1.32,2.61,10.0,1.43,8.67,Highly maintainable
121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
122,3.73,1.61,1.34,2.06,1.18,3.57,10.0,1.81,8.65,Highly maintainable
123,1.64,2.61,1.0,1.43,1.21,1.64,5.5,1.34,9.02,Highly maintainable
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
125,3.25,1.0,1.0,1.0,1.41,3.25,5.5,1.71,8.88,Highly maintainable
126,1.0,1.0,1.17,2.22,1.0,1.0,1.0,1.51,9.05,Highly maintainable
127,1.32,6.14,1.25,2.8,2.66,1.16,10.0,1.73,8.03,Highly maintainable
128,4.05,2.62,3.86,1.15,1.37,4.05,10.0,3.87,6.46,Moderately maintainable
129,1.8,1.0,1.0,4.05,1.86,1.8,5.5,1.84,8.81,Highly maintainable
130,1.32,1.64,1.42,5.44,1.86,1.32,10.0,1.57,8.49,Highly maintainable
131,2.29,2.29,1.5,1.87,1.78,2.29,10.0,1.89,8.16,Highly maintainable
132,1.21,2.29,2.18,1.24,2.96,1.64,10.0,2.59,7.21,Moderately maintainable
133,3.09,1.0,1.0,1.0,1.41,3.09,5.5,1.68,8.87,Highly maintainable
134,1.16,1.0,1.0,1.0,1.21,1.16,5.5,1.07,9.0,Highly maintainable
135,3.09,1.59,1.25,6.88,1.21,3.09,5.5,2.73,8.61,Highly maintainable
136,1.0,1.0,1.84,1.36,1.0,1.0,1.0,1.71,8.29,Highly maintainable
137,2.61,1.51,1.34,2.46,1.47,2.29,10.0,2.0,8.16,Highly maintainable
138,1.32,2.29,1.0,6.03,1.32,1.32,5.5,1.37,9.3,Highly maintainable
139,1.4,1.51,1.34,1.23,1.64,1.64,10.0,1.53,8.4,Highly maintainable
140,2.69,1.24,2.01,1.0,1.37,4.05,10.0,2.28,8.16,Highly maintainable
141,2.29,1.0,1.0,4.68,1.87,3.57,5.5,2.9,9.0,Highly maintainable
142,2.37,2.29,1.17,2.22,1.04,3.73,5.5,1.63,9.66,Highly maintainable
143,2.12,1.18,1.42,2.26,1.47,1.96,10.0,1.66,8.31,Highly maintainable
144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
145,1.56,1.64,2.35,4.9,1.31,3.25,10.0,3.09,8.27,Highly maintainable
146,1.96,2.93,2.35,5.98,1.36,1.96,10.0,3.82,7.04,Moderately maintainable
147,2.77,2.52,2.26,1.89,1.66,2.29,10.0,2.85,7.01,Moderately maintainable
148,1.16,10.0,1.59,1.91,2.71,1.16,10.0,1.97,7.63,Highly maintainable
149,1.32,2.29,1.08,2.22,1.41,1.8,5.5,1.85,8.92,Highly maintainable
150,1.64,1.86,1.93,2.04,1.36,2.29,10.0,2.83,7.71,Highly maintainable
151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
152,2.45,1.57,1.0,1.22,1.19,2.45,5.5,1.44,9.08,Highly maintainable
153,1.64,1.48,1.34,1.86,1.36,2.29,10.0,2.04,8.5,Highly maintainable
154,2.93,2.18,1.84,7.06,1.27,2.93,10.0,3.05,7.89,Highly maintainable
155,2.45,1.57,1.5,2.92,1.24,2.29,10.0,2.22,8.05,Highly maintainable
156,1.48,1.86,1.42,4.74,2.07,1.48,10.0,1.7,8.37,Highly maintainable
157,2.12,3.39,1.08,2.0,1.26,1.32,10.0,1.58,8.06,Highly maintainable
158,5.82,1.81,1.0,1.1,1.21,5.82,5.5,1.89,9.15,Highly maintainable
159,1.48,1.0,1.08,3.99,1.18,1.48,10.0,1.13,9.27,Highly maintainable
160,2.12,1.18,1.42,2.15,1.47,1.8,10.0,1.87,7.98,Highly maintainable
161,1.0,1.0,1.08,2.72,1.0,1.0,1.0,1.57,9.13,Highly maintainable
162,1.56,2.74,1.5,1.76,1.44,2.77,10.0,2.68,8.32,Highly maintainable
163,3.57,1.0,1.17,3.43,1.77,3.57,10.0,2.67,8.3,Highly maintainable
164,2.45,2.14,1.42,1.0,1.33,2.45,10.0,1.8,8.18,Highly maintainable
165,1.7,1.89,1.84,2.81,1.61,2.93,10.0,3.44,7.88,Highly maintainable
166,10.0,1.67,1.0,1.0,1.21,10.0,5.5,2.68,8.92,Highly maintainable
167,1.64,1.43,1.76,2.85,1.29,2.93,10.0,2.34,8.57,Highly maintainable
168,1.48,1.0,1.0,3.49,2.14,1.48,5.5,1.38,9.05,Highly maintainable
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
170,4.05,1.95,1.08,1.29,1.14,4.05,5.5,1.62,9.17,Highly maintainable
171,1.96,2.14,3.1,1.99,1.68,3.89,10.0,4.15,7.31,Moderately maintainable
172,2.77,1.0,1.0,1.0,1.33,2.77,5.5,1.78,8.73,Highly maintainable
173,1.48,2.5,1.59,3.52,1.88,1.32,10.0,2.66,7.36,Moderately maintainable
174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
175,1.8,2.29,1.17,1.77,1.43,1.8,10.0,1.33,8.8,Highly maintainable
176,5.02,1.62,1.0,1.23,1.21,5.02,5.5,2.04,8.98,Highly maintainable
177,1.96,2.71,1.59,2.24,1.39,1.8,10.0,2.06,7.87,Highly maintainable
178,1.8,1.26,1.25,4.08,1.66,1.64,10.0,1.98,8.21,Highly maintainable
179,3.09,2.98,1.59,1.15,1.35,2.93,10.0,1.81,8.18,Highly maintainable
180,1.48,5.07,1.42,3.69,2.46,1.96,10.0,2.74,8.02,Highly maintainable
181,8.07,1.35,2.09,1.0,1.27,8.07,10.0,3.07,7.72,Highly maintainable
182,3.25,1.46,1.0,1.0,1.21,3.25,5.5,1.56,9.06,Highly maintainable
183,1.96,2.07,1.17,7.26,1.21,1.96,5.5,2.05,8.86,Highly maintainable
184,1.32,3.57,2.01,1.7,2.02,1.32,10.0,1.82,7.59,Highly maintainable
185,2.12,1.37,1.42,1.18,1.35,1.8,10.0,1.49,8.16,Highly maintainable
186,2.04,2.29,2.09,2.53,1.4,3.09,10.0,2.97,7.9,Highly maintainable
187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
188,1.86,2.04,1.5,2.08,1.32,3.25,10.0,2.26,8.72,Highly maintainable
189,1.24,3.57,1.42,6.2,1.96,1.48,10.0,1.9,8.5,Highly maintainable
190,2.12,1.0,1.17,1.81,1.28,2.12,5.5,1.57,8.82,Highly maintainable
191,3.89,1.0,3.69,2.6,1.54,3.89,5.5,2.56,7.48,Moderately maintainable
192,2.61,1.26,1.67,3.16,1.49,2.29,10.0,2.06,7.99,Highly maintainable
193,1.48,2.71,1.42,1.92,2.14,1.32,10.0,1.54,8.06,Highly maintainable
194,1.8,2.29,1.59,1.23,1.47,1.8,10.0,1.47,8.24,Highly maintainable
195,1.7,1.99,2.77,1.08,2.02,2.45,10.0,3.53,6.84,Moderately maintainable
196,5.66,1.75,1.17,1.26,1.21,5.66,10.0,2.43,8.48,Highly maintainable
197,1.48,1.86,1.25,2.6,1.46,1.32,10.0,1.36,8.52,Highly maintainable
198,1.24,1.64,3.19,1.88,1.46,3.25,10.0,3.6,7.65,Highly maintainable
199,1.64,1.48,1.17,6.84,1.21,2.29,5.5,2.61,8.87,Highly maintainable
200,1.8,2.03,2.01,2.44,1.32,2.29,10.0,2.21,8.03,Highly maintainable
201,1.56,1.55,1.34,4.87,1.34,2.12,10.0,1.88,8.86,Highly maintainable
202,3.73,1.0,1.08,2.48,1.27,3.73,10.0,2.15,8.68,Highly maintainable
203,1.4,1.26,1.0,1.9,1.39,1.8,5.5,1.39,9.29,Highly maintainable
204,2.29,1.64,1.5,1.0,1.24,2.12,10.0,1.51,8.23,Highly maintainable
205,1.32,5.5,1.42,6.78,2.23,1.16,5.5,2.02,8.17,Highly maintainable
206,1.48,3.14,1.5,2.99,2.14,1.32,10.0,1.85,7.89,Highly maintainable
207,1.29,2.05,1.5,3.26,1.66,2.77,10.0,2.78,8.61,Highly maintainable
208,1.16,1.0,1.34,2.22,4.75,1.0,5.5,1.47,8.02,Highly maintainable
209,3.09,1.79,1.34,1.0,1.35,3.09,10.0,2.17,8.08,Highly maintainable
210,1.2,2.03,1.17,2.47,1.24,1.8,5.5,1.49,9.32,Highly maintainable
211,1.48,1.43,1.0,1.98,1.24,2.93,5.5,1.96,9.52,Highly maintainable
212,1.21,1.0,1.42,1.0,1.7,1.64,10.0,1.76,8.18,Highly maintainable
213,1.96,2.5,1.17,1.88,1.41,1.8,10.0,1.88,8.22,Highly maintainable
214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
215,1.44,1.7,1.25,2.56,1.38,2.77,10.0,2.39,8.85,Highly maintainable
216,1.16,2.29,1.17,1.67,2.71,1.16,10.0,1.24,8.5,Highly maintainable
217,2.45,2.57,3.19,1.76,2.18,2.45,10.0,3.37,6.59,Moderately maintainable
218,4.05,1.47,1.25,2.52,1.21,4.05,10.0,2.16,8.62,Highly maintainable
219,1.32,2.61,1.5,5.02,1.8,1.64,10.0,2.0,8.41,Highly maintainable
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
221,1.48,2.29,1.17,2.35,2.21,1.48,10.0,1.82,8.22,Highly maintainable
222,2.93,1.0,1.0,1.0,1.65,2.93,5.5,2.0,8.55,Highly maintainable
223,1.16,3.57,1.42,2.87,3.46,1.16,10.0,1.37,8.32,Highly maintainable
224,1.32,2.29,1.34,2.85,2.55,1.32,10.0,1.58,8.27,Highly maintainable
225,3.41,1.0,1.0,1.1,1.47,3.41,5.5,2.12,8.6,Highly maintainable
226,3.57,1.64,1.0,1.0,1.22,3.57,5.5,1.6,9.08,Highly maintainable
227,1.64,2.29,1.67,2.13,1.4,2.29,10.0,2.1,8.31,Highly maintainable
228,2.53,1.81,1.67,2.1,1.29,3.89,10.0,2.36,8.54,Highly maintainable
229,1.48,2.29,1.42,2.41,2.39,1.16,10.0,1.91,7.59,Highly maintainable
230,1.01,2.29,1.0,1.34,10.0,1.16,5.5,2.68,7.47,Moderately maintainable
231,1.96,1.86,1.17,6.85,1.27,1.96,5.5,1.93,8.92,Highly maintainable
232,2.93,1.75,1.25,1.65,1.17,2.93,10.0,1.8,8.58,Highly maintainable
233,2.29,5.66,2.01,1.43,1.78,1.96,10.0,2.17,7.4,Moderately maintainable
234,2.61,2.93,2.09,1.76,2.4,2.61,10.0,3.42,6.98,Moderately maintainable
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
236,1.8,4.34,1.93,1.85,1.84,1.8,10.0,1.85,7.84,Highly maintainable
237,1.32,1.0,1.0,2.49,1.75,1.0,5.5,1.31,8.57,Highly maintainable
238,1.16,1.0,1.0,1.92,2.07,1.16,5.5,1.36,8.75,Highly maintainable
239,1.2,1.77,1.67,1.0,1.73,1.8,10.0,1.8,8.17,Highly maintainable
240,4.54,1.76,1.0,1.0,1.25,4.54,5.5,1.83,9.02,Highly maintainable
241,1.32,2.29,1.5,1.64,3.28,1.64,10.0,2.34,7.69,Highly maintainable
242,2.77,1.58,1.08,1.43,1.19,2.61,10.0,1.67,8.64,Highly maintainable
243,2.45,1.57,1.0,1.29,1.28,8.23,5.5,3.48,9.63,Highly maintainable
244,1.8,1.0,2.35,1.87,2.29,1.8,5.5,2.57,7.24,Moderately maintainable
245,1.38,4.31,1.67,1.28,1.84,2.12,10.0,2.23,8.07,Highly maintainable
246,6.95,1.63,1.25,1.21,1.21,6.95,5.5,2.72,8.54,Highly maintainable
247,1.32,2.29,1.08,2.44,3.3,1.32,10.0,1.74,8.23,Highly maintainable
248,1.88,1.35,1.5,6.42,1.33,2.29,10.0,3.55,7.83,Highly maintainable
249,1.96,1.64,1.5,2.27,1.54,1.96,10.0,1.86,8.17,Highly maintainable
250,2.69,2.59,4.11,2.87,1.59,4.38,10.0,4.09,7.1,Moderately maintainable
251,2.12,1.92,1.84,2.59,1.87,2.12,10.0,2.5,7.6,Highly maintainable
