Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
65,1.17,2.5,1.0,4.38,4.57,1.17,5.5,2.3
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,2.87,1.14,1.67,1.0,1.18,2.87,10.0,1.65
69,2.02,2.0,1.0,1.61,1.23,2.02,5.5,1.91
70,2.36,1.19,1.0,1.0,1.17,2.36,5.5,1.57
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,7.96,1.73,1.0,1.0,1.17,7.96,5.5,2.93
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,1.85,4.0,2.33,1.0,1.49,1.85,10.0,1.97
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,1.68,2.88,2.33,1.51,1.17,1.51,10.0,1.65
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,3.21,4.69,1.33,1.0,1.26,3.04,10.0,2.46
83,2.36,2.69,3.0,1.0,1.48,2.36,10.0,2.54
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,1.17,10.0,1.0,1.0,1.93,1.17,5.5,1.37
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,1.51,2.5,10.0,3.74,2.27,1.51,5.5,6.39
96,1.34,2.5,2.0,1.42,4.18,1.17,5.5,3.36
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,2.19,1.0,1.0,2.32,1.9,1.0,5.5,2.77
100,5.92,1.0,1.0,1.0,1.26,5.92,5.5,2.6
101,1.34,2.5,2.67,1.35,1.81,1.0,10.0,1.51
102,2.7,1.75,1.33,8.63,1.17,2.7,5.5,3.87
103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,5.08,1.0,1.0,1.0,1.27,5.08,5.5,3.26
106,1.17,2.5,1.0,1.0,1.17,1.17,5.5,1.12
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,4.23,1.63,2.67,1.0,1.27,4.06,10.0,2.91
111,1.17,7.0,1.33,3.25,3.29,1.17,10.0,2.18
112,3.04,2.25,2.67,1.0,1.25,2.53,10.0,2.52
113,1.17,2.5,1.0,1.0,1.51,1.17,5.5,1.14
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,1.34,4.0,1.0,1.0,1.89,1.0,5.5,1.6
116,2.02,1.75,1.0,1.0,1.11,2.02,5.5,1.19
117,1.34,1.0,1.0,5.02,1.25,1.34,5.5,1.21
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,2.02,1.0,1.33,1.0,2.05,2.02,5.5,2.37
120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,5.75,2.66,1.0,1.0,1.18,5.75,5.5,2.91
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,1.07,2.5,1.0,1.0,1.08,1.34,5.5,1.13
124,1.34,3.25,2.0,2.7,1.47,1.34,5.5,1.98
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,2.87,2.36,1.0,1.0,1.29,1.0,5.5,1.94
130,2.02,1.0,1.0,1.0,1.21,2.02,5.5,1.48
131,1.0,1.0,3.33,10.0,1.0,1.0,1.0,2.61
132,2.19,2.5,1.67,2.64,1.52,2.19,5.5,2.19
133,1.17,8.5,1.0,4.63,3.29,1.17,5.5,1.82
134,2.87,1.0,1.33,4.48,1.36,2.87,5.5,10.0
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,3.55,1.7,1.0,1.0,1.17,3.55,5.5,1.89
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,2.7,1.75,1.0,1.0,1.21,2.7,5.5,1.62
140,1.51,1.33,1.67,1.0,1.43,2.36,10.0,2.38
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,4.23,1.0,1.0,1.73,1.15,4.23,5.5,2.3
143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147,2.02,3.25,1.0,1.0,1.52,2.02,5.5,2.13
148,2.19,4.0,3.0,1.0,1.38,2.02,10.0,1.93
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,1.34,2.5,1.67,3.12,3.89,1.34,5.5,3.87
154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
156,2.53,1.67,3.0,1.0,1.25,2.53,10.0,2.61
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,2.19,1.0,2.0,1.69,1.25,2.02,10.0,1.91
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,2.36,1.94,7.67,5.52,1.71,2.36,10.0,6.18
164,1.64,1.6,3.33,1.57,1.29,2.53,5.5,3.28
165,2.53,2.0,2.67,3.95,1.22,2.36,10.0,3.94
166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,1.34,4.75,1.33,4.18,1.59,1.34,5.5,2.6
168,1.68,1.38,1.67,1.0,1.23,1.68,10.0,1.63
169,1.34,1.0,1.0,2.02,1.42,1.34,5.5,1.38
170,1.68,1.38,1.0,1.0,1.17,1.68,5.5,1.57
171,4.57,1.5,2.33,1.0,1.17,4.06,10.0,2.11
173,2.87,1.0,1.0,1.19,1.23,2.87,5.5,1.58
174,2.53,1.5,1.0,1.0,1.08,2.53,5.5,1.34
175,1.17,2.5,1.33,2.78,1.85,1.17,10.0,1.56
177,1.62,1.2,1.33,1.0,1.19,4.74,10.0,3.06
178,1.68,3.62,2.33,1.62,1.42,1.34,10.0,1.57
179,1.34,1.0,3.0,1.0,1.47,1.34,10.0,1.34
180,3.04,2.5,3.0,1.0,1.21,1.51,10.0,2.37
181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,3.12,1.66,1.67,3.46,1.21,5.25,10.0,4.71
184,1.85,2.5,1.0,1.0,1.17,1.85,5.5,1.34
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
186,1.17,2.5,1.33,2.37,1.59,1.17,5.5,2.07
187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191,2.19,1.21,1.0,1.0,1.17,2.19,5.5,1.38
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,4.4,1.3,2.0,1.21,1.29,4.4,10.0,2.34
194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,1.48,2.06,7.33,4.62,1.29,3.72,10.0,6.13
199,1.17,2.5,4.67,2.95,10.0,1.17,10.0,5.26
200,1.85,1.6,1.0,1.68,1.17,1.85,5.5,1.44
