Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume,MI,Interpretation
49,1.34,3.25,1.67,2.65,1.3,1.34,5.5,2.03,8.0,Highly maintainable
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84,8.63,Highly maintainable
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
54,1.17,2.5,1.0,4.07,5.25,1.17,5.5,2.13,8.18,Highly maintainable
55,3.21,1.0,1.0,1.0,1.0,3.21,1.0,1.23,9.93,Highly maintainable
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
57,2.19,1.86,1.0,1.0,1.17,2.19,5.5,1.43,8.97,Highly maintainable
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
59,1.85,1.9,1.67,1.0,1.17,1.85,10.0,1.57,8.09,Highly maintainable
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
61,5.25,1.72,1.0,1.0,1.17,5.25,5.5,2.33,8.75,Highly maintainable
62,5.92,1.88,1.0,1.0,1.18,5.92,5.5,2.73,8.59,Highly maintainable
63,4.91,1.0,1.0,1.08,1.3,4.91,5.5,2.7,8.47,Highly maintainable
64,5.42,1.75,1.0,1.0,1.17,5.42,5.5,2.05,8.96,Highly maintainable
65,1.17,2.5,1.0,4.38,4.57,1.17,5.5,2.3,8.11,Highly maintainable
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
68,2.87,1.14,1.67,1.0,1.18,2.87,10.0,1.65,8.25,Highly maintainable
69,2.02,2.0,1.0,1.61,1.23,2.02,5.5,1.91,8.63,Highly maintainable
70,2.36,1.19,1.0,1.0,1.17,2.36,5.5,1.57,8.86,Highly maintainable
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
72,7.96,1.73,1.0,1.0,1.17,7.96,5.5,2.93,8.66,Highly maintainable
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
74,1.85,4.0,2.33,1.0,1.49,1.85,10.0,1.97,7.43,Moderately maintainable
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
76,1.68,2.88,2.33,1.51,1.17,1.51,10.0,1.65,7.64,Highly maintainable
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
82,3.21,4.69,1.33,1.0,1.26,3.04,10.0,2.46,7.88,Highly maintainable
83,2.36,2.69,3.0,1.0,1.48,2.36,10.0,2.54,6.94,Moderately maintainable
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
87,1.17,10.0,1.0,1.0,1.93,1.17,5.5,1.37,8.63,Highly maintainable
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96,8.54,Highly maintainable
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
95,1.51,2.5,10.0,3.74,2.27,1.51,5.5,6.39,4.71,Difficult to maintain
96,1.34,2.5,2.0,1.42,4.18,1.17,5.5,3.36,6.43,Moderately maintainable
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
99,2.19,1.0,1.0,2.32,1.9,1.0,5.5,2.77,6.92,Moderately maintainable
100,5.92,1.0,1.0,1.0,1.26,5.92,5.5,2.6,8.62,Highly maintainable
101,1.34,2.5,2.67,1.35,1.81,1.0,10.0,1.51,7.1,Moderately maintainable
102,2.7,1.75,1.33,8.63,1.17,2.7,5.5,3.87,8.03,Highly maintainable
103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
105,5.08,1.0,1.0,1.0,1.27,5.08,5.5,3.26,8.19,Highly maintainable
106,1.17,2.5,1.0,1.0,1.17,1.17,5.5,1.12,8.98,Highly maintainable
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
108,4.23,1.63,2.67,1.0,1.27,4.06,10.0,2.91,7.14,Moderately maintainable
111,1.17,7.0,1.33,3.25,3.29,1.17,10.0,2.18,7.76,Highly maintainable
112,3.04,2.25,2.67,1.0,1.25,2.53,10.0,2.52,6.95,Moderately maintainable
113,1.17,2.5,1.0,1.0,1.51,1.17,5.5,1.14,8.9,Highly maintainable
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
115,1.34,4.0,1.0,1.0,1.89,1.0,5.5,1.6,8.0,Highly maintainable
116,2.02,1.75,1.0,1.0,1.11,2.02,5.5,1.19,9.21,Highly maintainable
117,1.34,1.0,1.0,5.02,1.25,1.34,5.5,1.21,9.41,Highly maintainable
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
119,2.02,1.0,1.33,1.0,2.05,2.02,5.5,2.37,7.77,Highly maintainable
120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
121,5.75,2.66,1.0,1.0,1.18,5.75,5.5,2.91,8.49,Highly maintainable
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
123,1.07,2.5,1.0,1.0,1.08,1.34,5.5,1.13,9.27,Highly maintainable
124,1.34,3.25,2.0,2.7,1.47,1.34,5.5,1.98,7.86,Highly maintainable
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
129,2.87,2.36,1.0,1.0,1.29,1.0,5.5,1.94,7.04,Moderately maintainable
130,2.02,1.0,1.0,1.0,1.21,2.02,5.5,1.48,8.84,Highly maintainable
131,1.0,1.0,3.33,10.0,1.0,1.0,1.0,2.61,7.76,Highly maintainable
132,2.19,2.5,1.67,2.64,1.52,2.19,5.5,2.19,8.14,Highly maintainable
133,1.17,8.5,1.0,4.63,3.29,1.17,5.5,1.82,8.59,Highly maintainable
134,2.87,1.0,1.33,4.48,1.36,2.87,5.5,10.0,6.38,Moderately maintainable
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
136,3.55,1.7,1.0,1.0,1.17,3.55,5.5,1.89,8.83,Highly maintainable
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
138,2.7,1.75,1.0,1.0,1.21,2.7,5.5,1.62,8.9,Highly maintainable
140,1.51,1.33,1.67,1.0,1.43,2.36,10.0,2.38,7.98,Highly maintainable
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
142,4.23,1.0,1.0,1.73,1.15,4.23,5.5,2.3,8.8,Highly maintainable
143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
147,2.02,3.25,1.0,1.0,1.52,2.02,5.5,2.13,8.29,Highly maintainable
148,2.19,4.0,3.0,1.0,1.38,2.02,10.0,1.93,7.22,Moderately maintainable
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
153,1.34,2.5,1.67,3.12,3.89,1.34,5.5,3.87,6.86,Moderately maintainable
154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
156,2.53,1.67,3.0,1.0,1.25,2.53,10.0,2.61,6.96,Moderately maintainable
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
161,2.19,1.0,2.0,1.69,1.25,2.02,10.0,1.91,7.74,Highly maintainable
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
163,2.36,1.94,7.67,5.52,1.71,2.36,10.0,6.18,5.26,Moderately maintainable
164,1.64,1.6,3.33,1.57,1.29,2.53,5.5,3.28,7.24,Moderately maintainable
165,2.53,2.0,2.67,3.95,1.22,2.36,10.0,3.94,6.79,Moderately maintainable
166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
167,1.34,4.75,1.33,4.18,1.59,1.34,5.5,2.6,7.96,Highly maintainable
168,1.68,1.38,1.67,1.0,1.23,1.68,10.0,1.63,7.95,Highly maintainable
169,1.34,1.0,1.0,2.02,1.42,1.34,5.5,1.38,8.9,Highly maintainable
170,1.68,1.38,1.0,1.0,1.17,1.68,5.5,1.57,8.66,Highly maintainable
171,4.57,1.5,2.33,1.0,1.17,4.06,10.0,2.11,7.68,Highly maintainable
173,2.87,1.0,1.0,1.19,1.23,2.87,5.5,1.58,9.0,Highly maintainable
174,2.53,1.5,1.0,1.0,1.08,2.53,5.5,1.34,9.16,Highly maintainable
175,1.17,2.5,1.33,2.78,1.85,1.17,10.0,1.56,8.28,Highly maintainable
177,1.62,1.2,1.33,1.0,1.19,4.74,10.0,3.06,8.85,Highly maintainable
178,1.68,3.62,2.33,1.62,1.42,1.34,10.0,1.57,7.52,Highly maintainable
179,1.34,1.0,3.0,1.0,1.47,1.34,10.0,1.34,7.53,Highly maintainable
180,3.04,2.5,3.0,1.0,1.21,1.51,10.0,2.37,6.15,Moderately maintainable
181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
183,3.12,1.66,1.67,3.46,1.21,5.25,10.0,4.71,7.94,Highly maintainable
184,1.85,2.5,1.0,1.0,1.17,1.85,5.5,1.34,8.98,Highly maintainable
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
186,1.17,2.5,1.33,2.37,1.59,1.17,5.5,2.07,8.01,Highly maintainable
187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
191,2.19,1.21,1.0,1.0,1.17,2.19,5.5,1.38,9.01,Highly maintainable
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
193,4.4,1.3,2.0,1.21,1.29,4.4,10.0,2.34,7.87,Highly maintainable
194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.55,Highly maintainable
198,1.48,2.06,7.33,4.62,1.29,3.72,10.0,6.13,6.46,Moderately maintainable
199,1.17,2.5,4.67,2.95,10.0,1.17,10.0,5.26,5.01,Moderately maintainable
200,1.85,1.6,1.0,1.68,1.17,1.85,5.5,1.44,9.02,Highly maintainable
