Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
38,2.12,1.32,1.68,1.0,1.9,1.77,7.0,1.34
39,2.77,1.23,1.68,1.0,1.55,2.21,7.0,1.31
40,1.43,1.4,1.58,1.0,1.61,1.88,7.0,1.44
41,1.55,1.32,1.0,1.0,1.34,2.87,4.0,1.26
42,1.64,1.0,1.0,1.0,1.36,1.44,4.0,1.1
43,2.12,1.46,1.0,1.0,1.39,1.11,4.0,1.14
44,9.68,1.16,1.0,1.0,1.29,6.93,4.0,1.79
45,1.4,1.13,1.0,1.0,1.29,1.55,4.0,1.1
46,1.16,1.32,1.39,1.0,2.86,1.22,7.0,1.22
47,1.8,1.13,1.19,1.0,1.63,1.55,7.0,1.24
48,5.5,1.17,1.29,1.0,1.31,4.07,7.0,1.76
49,7.75,1.18,1.29,1.16,1.34,5.61,4.0,1.9
50,1.64,1.0,1.0,1.0,1.39,1.44,4.0,1.15
51,3.73,1.13,1.19,1.0,1.34,2.87,7.0,1.43
52,2.12,1.21,1.0,1.0,1.31,2.54,4.0,1.39
53,2.61,1.19,1.0,1.0,1.17,2.1,4.0,1.44
54,1.96,1.16,1.19,1.0,1.29,1.66,7.0,1.16
55,7.27,1.13,3.61,1.0,1.52,5.28,7.0,2.67
56,1.96,1.16,1.0,1.0,1.29,1.66,4.0,1.14
57,1.96,1.48,2.16,1.21,1.81,2.21,7.0,1.65
58,3.01,1.15,1.0,1.0,1.29,3.74,4.0,1.47
59,5.98,1.18,1.19,1.0,1.31,4.4,7.0,1.46
60,4.86,1.0,1.87,1.54,1.77,3.52,4.0,1.79
61,5.18,1.16,1.0,1.0,1.29,3.85,4.0,1.35
62,2.29,1.32,1.68,1.0,1.88,1.88,7.0,1.5
63,1.16,1.32,1.48,1.0,3.43,1.11,7.0,1.12
64,1.7,1.42,1.19,1.0,1.29,2.43,7.0,1.37
65,2.93,1.08,1.19,1.0,1.43,2.1,7.0,1.26
66,1.8,1.06,1.19,1.59,1.74,1.55,4.0,1.36
67,1.36,1.04,1.29,1.0,1.51,1.99,7.0,1.32
68,1.4,1.13,1.0,1.0,1.29,1.55,4.0,1.08
69,7.43,1.17,1.0,1.0,1.34,5.39,4.0,1.67
70,3.41,1.0,1.0,2.99,1.36,2.65,4.0,1.94
71,1.13,1.32,1.68,1.0,2.21,1.44,7.0,1.25
72,5.34,1.24,1.0,1.0,1.25,3.96,4.0,1.4
73,1.96,1.43,1.48,1.24,1.29,1.33,7.0,1.22
74,1.16,1.32,1.29,2.02,1.29,1.11,7.0,1.07
75,4.21,1.14,1.48,1.0,1.34,3.2,7.0,1.48
76,1.64,1.16,1.48,2.56,1.29,1.44,4.0,1.16
77,1.16,2.29,1.1,1.0,2.29,1.11,4.0,1.03
78,1.1,1.05,1.0,1.0,1.16,1.77,4.0,1.27
79,2.93,1.24,1.68,1.0,1.68,2.32,7.0,1.45
80,2.45,1.39,2.16,1.0,1.89,1.11,7.0,1.52
81,2.12,1.32,1.19,1.21,1.41,2.21,7.0,1.56
82,1.72,1.21,1.29,1.81,1.84,1.99,7.0,1.47
83,1.88,1.38,1.29,1.0,1.32,2.21,4.0,1.4
84,2.29,1.08,1.58,3.23,1.68,1.88,7.0,1.82
85,1.56,1.07,1.1,1.0,1.04,2.54,7.0,1.36
86,1.16,1.01,1.0,1.0,1.44,4.18,4.0,2.19
87,1.16,4.21,1.0,1.0,1.29,1.11,4.0,1.03
88,1.24,1.11,1.0,1.0,1.19,1.33,4.0,1.32
89,1.7,1.32,1.58,1.0,1.38,2.32,7.0,1.36
90,1.26,1.13,1.0,1.0,1.29,4.84,4.0,2.1
91,5.5,1.17,1.0,1.0,1.29,4.07,4.0,1.43
92,1.16,1.64,1.29,6.36,2.29,1.11,4.0,1.25
93,1.16,1.96,1.19,1.0,1.29,1.11,4.0,1.19
94,2.53,1.27,1.97,1.62,1.31,3.09,7.0,1.43
95,1.91,1.06,1.39,2.97,1.11,2.87,7.0,1.27
96,2.53,1.14,1.58,1.0,1.5,3.09,7.0,1.66
97,5.18,1.0,1.1,1.0,1.55,3.85,4.0,1.76
98,1.32,1.16,1.1,1.0,1.64,1.22,7.0,1.05
99,2.61,1.16,1.0,1.0,1.29,2.1,4.0,1.1
100,3.25,1.3,1.29,1.33,1.47,2.54,4.0,1.38
101,1.48,1.21,1.29,1.4,1.48,1.33,7.0,1.13
102,5.18,1.43,2.65,1.0,1.53,3.85,7.0,2.22
103,2.29,1.16,1.19,1.0,1.34,1.88,7.0,1.22
104,2.93,1.0,1.1,4.25,1.0,2.32,1.0,1.21
105,2.69,1.17,1.58,1.0,1.46,3.3,7.0,1.65
106,4.86,1.15,1.19,1.11,1.29,3.63,7.0,1.51
107,4.86,1.0,1.0,1.0,1.35,3.63,4.0,1.4
108,1.24,1.16,1.29,2.25,1.31,1.66,4.0,1.15
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,1.64,1.08,1.68,1.0,1.93,1.44,7.0,1.15
111,1.88,1.15,1.19,1.79,1.38,2.21,7.0,1.42
112,3.09,1.27,1.0,1.0,1.29,2.43,4.0,1.21
113,1.64,1.16,1.0,1.0,1.29,1.44,4.0,1.04
114,2.37,1.11,1.48,1.13,1.38,2.87,7.0,1.42
115,1.16,1.32,1.1,1.0,1.29,1.22,7.0,1.07
116,1.96,1.75,1.39,1.0,1.4,1.66,4.0,1.39
117,4.38,1.15,1.0,1.0,1.29,3.3,4.0,1.41
118,5.34,1.38,3.9,1.0,1.42,3.96,7.0,2.21
119,1.8,1.13,1.19,1.0,1.89,1.55,4.0,1.18
120,2.77,1.18,1.87,1.0,1.33,4.51,7.0,1.65
121,1.32,1.32,1.19,1.49,2.36,1.22,7.0,1.12
122,2.34,1.36,1.0,1.0,1.14,3.74,4.0,1.28
123,1.32,1.0,1.0,2.7,5.21,1.22,4.0,1.28
124,2.12,2.38,1.0,1.0,2.37,1.77,4.0,1.57
125,1.16,3.25,1.1,1.0,4.14,1.11,7.0,1.21
126,2.21,1.19,3.03,1.0,1.57,2.43,7.0,1.91
127,1.96,1.0,1.0,1.0,1.36,1.66,4.0,1.13
128,1.24,1.21,1.0,1.0,1.29,1.33,4.0,1.1
129,1.96,1.32,1.39,1.0,2.26,1.66,7.0,1.47
130,1.8,1.19,2.06,1.14,1.63,1.55,7.0,1.58
131,2.93,1.0,1.0,1.0,1.43,2.32,4.0,1.23
132,1.68,1.25,2.06,1.0,1.43,2.87,7.0,1.77
133,3.41,1.15,1.0,1.0,1.29,2.65,4.0,1.28
134,1.0,1.0,1.87,1.0,1.0,1.0,1.0,1.21
135,2.45,1.14,1.0,1.0,1.48,1.99,4.0,1.24
136,1.56,1.14,1.19,1.0,1.71,1.77,7.0,1.3
137,1.56,1.09,1.1,1.0,1.41,1.55,7.0,1.16
138,3.25,1.07,2.74,1.0,1.64,2.43,7.0,1.55
139,4.21,1.0,1.1,1.2,1.42,3.2,4.0,1.67
140,1.96,1.05,1.1,1.0,1.08,2.98,4.0,1.19
141,1.96,1.11,1.29,1.0,1.52,1.55,7.0,1.18
142,7.27,1.06,1.19,1.0,1.31,5.28,7.0,1.71
143,2.04,1.22,1.58,1.41,1.4,2.43,7.0,1.43
144,2.29,1.52,2.16,1.0,2.16,1.88,7.0,1.48
145,1.48,1.43,1.39,1.0,2.29,1.22,7.0,1.2
146,1.8,2.8,3.23,1.0,2.31,1.11,7.0,2.01
147,1.21,1.32,1.58,1.45,1.86,1.44,7.0,1.27
148,1.64,1.32,1.48,1.0,1.68,1.0,7.0,1.2
149,1.8,1.09,1.0,1.0,1.17,2.65,4.0,1.22
150,2.45,1.18,1.29,1.23,1.37,1.99,7.0,1.27
151,2.45,1.21,1.1,2.04,1.16,1.77,4.0,1.37
152,3.41,1.62,1.19,1.0,1.3,2.65,7.0,1.36
153,1.64,1.19,2.74,1.2,1.52,1.99,7.0,1.86
154,1.48,1.54,2.94,1.0,1.29,1.33,7.0,1.89
155,2.29,1.04,1.68,2.36,1.25,1.88,4.0,1.35
156,5.18,1.16,1.0,1.0,1.29,3.85,4.0,1.34
157,3.04,1.24,3.13,1.82,1.33,5.17,7.0,2.28
158,1.59,1.03,1.1,1.0,1.38,1.99,7.0,1.42
159,1.86,1.0,1.58,1.0,1.35,2.76,7.0,1.74
160,2.12,1.28,1.58,1.0,2.2,1.77,7.0,1.69
161,3.73,1.0,1.1,1.0,1.51,1.0,4.0,1.59
162,2.61,1.23,1.97,1.0,1.79,1.88,7.0,1.51
163,2.21,1.19,1.77,1.0,1.45,2.65,7.0,1.6
164,9.68,1.16,1.0,1.0,1.29,6.93,4.0,1.78
165,1.36,1.07,1.97,2.27,1.54,1.99,7.0,1.5
166,1.08,1.0,1.19,3.14,1.57,1.11,4.0,1.1
167,1.64,1.08,1.39,2.84,1.29,1.44,4.0,1.4
168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14
169,3.57,1.34,4.0,1.0,2.07,2.76,7.0,1.95
170,2.93,1.0,1.0,1.0,1.37,2.32,4.0,1.23
171,1.39,1.21,3.13,1.0,2.69,2.21,7.0,2.14
172,2.12,1.18,1.58,1.0,1.33,1.77,7.0,1.26
173,1.64,1.4,1.0,1.0,1.43,1.44,4.0,1.08
174,2.93,1.08,1.0,1.0,1.29,2.32,4.0,1.2
175,1.16,4.86,1.29,1.83,3.43,1.11,7.0,1.26
176,2.29,1.14,1.1,1.38,1.3,2.76,4.0,1.37
177,1.35,1.03,1.1,1.0,1.22,2.21,7.0,1.18
178,1.05,4.86,1.0,1.46,1.0,1.22,1.0,1.15
179,4.7,1.0,1.0,1.0,1.43,1.0,4.0,1.42
180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09
181,1.88,1.2,1.1,1.0,1.35,2.21,4.0,1.37
182,2.12,2.19,2.26,1.0,1.55,1.77,7.0,1.34
183,1.64,1.16,1.19,1.58,1.54,1.44,7.0,1.16
184,3.57,1.34,4.0,1.18,1.96,2.54,7.0,2.53
185,1.32,2.93,1.29,1.42,1.14,1.22,4.0,1.18
186,2.77,1.12,3.03,1.0,1.61,2.1,7.0,1.69
187,2.93,1.16,1.19,1.0,1.57,2.32,7.0,1.29
188,2.77,1.47,2.26,1.0,1.34,2.21,7.0,1.43
189,3.89,1.0,1.29,1.77,1.25,2.98,4.0,1.7
190,4.21,1.08,1.68,1.21,1.54,3.2,7.0,1.54
191,2.12,1.14,1.48,1.0,1.82,1.77,7.0,1.34
192,2.45,1.29,1.58,1.0,1.43,1.99,7.0,1.32
193,2.29,1.64,3.23,1.19,2.04,1.44,7.0,2.21
194,2.37,1.23,1.1,1.0,1.26,2.87,7.0,1.32
195,1.48,1.21,1.19,1.0,1.55,1.66,7.0,1.26
196,1.16,1.0,1.0,1.0,1.29,4.07,4.0,1.9
197,1.64,1.08,1.0,1.0,1.29,1.44,4.0,1.13
198,1.8,1.35,2.84,1.0,2.11,1.99,7.0,1.76
199,1.32,1.32,1.29,1.34,2.0,1.22,7.0,1.21
200,2.69,1.0,1.0,1.0,1.46,3.3,4.0,1.55
201,2.45,1.18,1.0,1.0,1.35,1.99,4.0,1.17
202,2.45,1.11,1.39,1.17,1.27,1.99,7.0,1.24
203,1.08,1.64,1.0,1.73,3.07,1.22,4.0,1.29
204,2.12,2.1,1.58,1.0,1.73,1.77,7.0,1.37
205,3.41,1.11,1.39,1.0,1.29,2.65,7.0,1.27
206,2.29,1.32,1.39,1.0,1.61,1.88,7.0,1.27
207,3.73,1.17,1.29,1.0,1.33,2.87,7.0,1.53
208,1.4,1.13,1.58,1.38,1.8,1.33,7.0,1.48
209,2.93,1.08,1.0,1.0,1.29,2.32,4.0,1.23
210,1.48,1.54,1.58,1.0,1.48,1.33,7.0,1.32
211,1.8,1.26,1.29,1.0,1.5,2.1,7.0,1.44
212,1.16,1.32,1.29,2.88,1.43,1.11,7.0,1.27
213,1.8,1.51,1.39,1.0,1.43,1.44,7.0,1.18
214,1.16,1.32,2.06,3.41,5.29,1.11,7.0,1.24
215,3.41,1.24,4.0,1.0,2.27,2.65,7.0,2.18
216,4.21,1.11,1.29,1.0,1.31,3.2,7.0,1.51
217,1.72,1.29,2.06,1.0,2.05,1.99,7.0,1.65
218,2.29,1.2,1.0,1.0,1.2,1.88,4.0,1.14
219,2.77,1.2,2.45,3.78,2.12,1.55,10.0,2.2
220,1.16,1.0,1.0,1.0,1.57,1.0,4.0,1.03
221,1.96,1.16,1.39,1.0,1.29,1.66,4.0,1.24
222,2.25,1.03,3.13,1.0,1.76,4.4,7.0,2.09
223,3.41,1.0,1.0,1.0,1.72,2.65,4.0,1.53
224,3.41,1.15,1.0,1.0,1.29,2.65,4.0,1.24
225,1.88,1.35,1.29,1.0,1.48,2.21,7.0,1.32
226,2.45,1.14,1.68,1.0,1.56,1.99,7.0,1.3
227,1.16,1.32,1.1,1.0,1.43,1.11,4.0,1.07
228,1.25,1.12,1.0,1.0,1.29,4.95,4.0,2.17
229,2.12,1.14,1.0,1.0,1.29,1.77,4.0,1.09
230,3.09,1.15,3.13,8.2,1.13,2.21,4.0,2.54
231,1.88,1.35,1.19,1.0,1.27,2.21,7.0,1.23
232,1.16,1.32,1.19,1.51,3.57,1.11,7.0,1.12
233,1.48,1.21,1.0,1.0,1.43,1.33,4.0,1.07
234,2.77,1.47,2.55,1.0,1.88,2.21,7.0,1.49
235,1.24,1.21,1.19,1.0,1.29,1.33,4.0,1.19
236,2.77,1.82,1.0,1.0,1.0,2.21,1.0,1.22
237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,5.02,1.15,1.0,1.0,1.29,3.74,4.0,1.39
239,2.61,1.29,1.19,1.0,2.09,1.99,7.0,1.58
240,2.77,1.23,1.29,1.0,1.23,2.21,7.0,1.21
241,3.41,1.12,1.1,1.2,1.28,4.29,4.0,1.58
242,1.8,1.0,1.0,1.0,1.71,1.55,4.0,1.3
243,1.8,1.39,2.45,1.12,1.76,2.1,7.0,1.45
244,1.64,1.2,1.0,1.0,1.29,1.88,4.0,1.39
245,2.29,1.52,1.58,1.0,1.98,1.88,7.0,1.39
246,2.29,1.16,2.35,1.0,2.02,1.77,7.0,1.34
247,1.48,1.11,1.0,1.0,1.38,1.33,4.0,1.07
248,3.73,1.23,1.97,1.0,1.52,2.87,7.0,1.58
249,2.29,1.24,2.16,1.0,2.07,1.66,7.0,1.54
250,1.48,1.07,1.19,1.0,1.38,1.99,7.0,1.18
251,1.24,1.54,1.58,1.47,2.43,1.33,4.0,1.21
252,1.16,1.32,1.29,7.17,1.29,1.33,4.0,1.16
253,5.02,1.17,2.16,1.06,1.78,3.74,7.0,2.46
254,2.12,1.16,1.29,1.0,1.33,2.54,7.0,1.27
255,1.11,1.16,1.0,3.37,1.14,1.22,4.0,1.08
256,1.16,1.96,1.19,7.92,1.29,1.11,4.0,1.08
257,1.32,1.16,1.0,1.0,1.29,1.22,4.0,1.02
258,2.45,1.11,1.39,1.0,1.35,1.99,7.0,1.31
259,2.45,1.39,1.39,1.0,1.32,1.0,4.0,1.55
260,2.21,1.16,2.06,1.0,1.48,3.85,7.0,2.03
261,2.12,1.28,1.97,1.0,1.27,4.07,7.0,1.94
262,3.09,1.38,2.16,1.0,1.79,1.99,7.0,2.59
263,1.96,1.54,1.1,1.34,1.38,1.66,7.0,1.19
264,1.16,9.68,1.29,1.39,6.86,1.11,7.0,1.37
265,1.0,1.0,1.39,9.56,1.0,1.0,1.0,1.89
266,1.88,1.15,1.0,1.0,1.27,2.21,4.0,1.21
267,1.48,1.26,1.58,1.12,1.37,2.65,7.0,1.59
268,1.96,1.11,1.0,1.0,1.29,1.66,4.0,1.12
269,2.61,1.1,1.1,1.0,1.29,2.1,7.0,1.27
270,2.29,1.18,1.87,1.0,1.62,2.76,7.0,1.5
271,3.09,1.3,1.58,1.0,1.54,2.32,7.0,1.49
272,1.8,1.06,1.29,1.52,1.94,1.55,7.0,1.49
273,2.29,1.22,3.61,1.21,1.7,2.76,7.0,1.78
274,1.8,1.06,1.1,1.0,1.29,1.55,7.0,1.13
275,1.48,1.54,1.19,1.88,2.0,1.33,7.0,1.45
276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13
277,2.29,1.16,1.0,1.0,1.29,1.88,4.0,1.11
278,2.61,1.03,1.68,1.13,1.47,1.77,7.0,1.44
279,2.21,1.04,1.29,1.0,1.91,1.77,7.0,1.79
280,1.8,1.39,2.06,1.0,1.8,1.55,7.0,1.29
281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
282,1.64,1.32,2.55,1.0,2.21,1.88,7.0,1.82
283,3.09,1.32,1.19,1.0,1.38,2.43,7.0,1.43
284,1.54,1.1,2.55,1.24,2.26,1.66,7.0,1.89
285,2.12,1.18,1.1,1.0,1.51,1.77,7.0,1.13
286,1.32,1.32,1.39,1.16,1.29,1.22,4.0,1.32
287,3.41,1.0,1.0,1.0,1.41,2.65,4.0,1.26
288,1.96,1.08,1.48,1.46,1.4,2.32,7.0,1.33
289,1.96,1.07,1.58,1.17,1.42,2.98,7.0,1.73
290,1.16,1.32,1.0,6.62,1.29,1.11,4.0,1.04
291,2.61,1.16,1.0,1.0,1.29,2.1,4.0,1.1
292,1.96,1.59,1.77,1.0,2.0,1.66,7.0,1.36
293,2.45,1.25,1.77,1.0,2.65,1.88,7.0,1.95
294,3.09,1.15,1.0,1.0,1.29,2.43,4.0,1.18
295,3.25,1.28,4.97,1.0,1.45,2.43,7.0,2.47
296,2.29,1.12,1.0,1.0,1.29,1.88,4.0,1.11
297,2.29,1.04,1.29,1.0,1.34,1.88,7.0,1.25
298,1.8,1.58,1.1,1.0,1.29,1.55,4.0,1.11
299,2.29,1.56,1.0,1.0,1.29,1.88,4.0,1.13
300,1.32,1.48,1.68,1.0,1.71,1.22,7.0,1.39
301,1.43,1.12,1.48,1.61,1.61,1.77,7.0,1.46
302,1.32,1.0,1.19,1.0,1.29,1.11,4.0,1.25
303,5.18,1.0,1.1,1.0,1.6,3.85,4.0,1.89
304,3.73,1.0,1.0,1.0,1.17,2.87,4.0,1.34
305,2.12,1.09,1.48,1.0,1.22,1.11,7.0,1.18
306,2.19,1.14,1.39,2.05,1.2,4.95,7.0,1.93
307,1.35,1.45,1.29,1.39,1.38,2.1,7.0,1.47
308,1.56,1.41,1.77,1.0,1.8,1.77,7.0,1.42
309,1.72,1.18,1.0,1.66,1.49,1.99,4.0,1.24
310,3.41,1.32,1.1,1.0,1.29,2.65,4.0,1.26
311,1.48,1.19,1.0,1.0,1.31,2.32,4.0,1.27
312,2.29,1.04,1.0,1.0,1.41,1.88,4.0,1.22
313,1.32,1.08,1.68,1.84,1.32,1.44,7.0,1.2
314,1.8,1.16,1.0,1.0,1.29,2.1,4.0,1.12
315,2.37,1.34,1.0,1.0,1.0,2.87,1.0,1.28
316,3.57,1.0,1.0,1.0,1.42,2.76,4.0,1.45
317,1.96,1.21,1.0,1.0,1.29,1.66,4.0,1.26
318,1.88,1.23,2.35,1.21,2.03,2.21,7.0,1.68
319,1.96,1.16,1.19,2.02,1.29,1.66,4.0,1.12
320,2.93,1.16,1.0,1.0,1.29,2.32,4.0,1.13
321,1.44,1.1,1.0,1.0,1.29,5.5,4.0,1.77
322,1.64,1.2,1.0,1.0,1.38,1.88,4.0,1.22
323,2.45,1.54,1.39,1.0,1.89,1.99,7.0,1.4
324,3.25,1.0,1.0,1.2,1.3,2.54,4.0,1.2
325,1.72,1.14,1.68,1.0,1.56,1.99,7.0,1.47
326,2.04,1.22,1.77,1.0,1.59,1.55,7.0,1.47
327,1.96,1.16,1.29,1.0,2.33,1.66,7.0,1.32
328,1.96,1.32,1.0,1.0,1.29,1.66,4.0,1.13
329,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.25
330,5.98,1.18,1.19,1.0,1.32,4.4,7.0,1.5
331,1.01,1.32,1.19,1.25,2.43,1.11,7.0,1.2
332,2.61,1.1,4.48,1.0,1.96,2.1,7.0,1.56
333,1.64,1.16,1.0,1.0,1.29,1.44,4.0,1.11
334,2.45,1.29,1.19,2.07,1.57,1.99,7.0,1.34
335,2.45,1.11,1.0,1.0,1.29,1.99,4.0,1.16
336,5.18,1.16,1.0,1.0,1.29,3.85,4.0,1.34
337,1.96,1.02,1.0,1.0,1.21,2.98,4.0,1.37
338,3.09,1.0,1.0,1.0,2.31,2.43,4.0,1.81
339,1.32,1.8,1.39,1.0,2.07,1.22,7.0,1.14
340,1.8,1.0,1.0,1.0,1.77,1.44,4.0,1.3
341,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.24
342,1.16,1.64,1.0,1.0,1.43,1.11,4.0,1.06
343,2.45,1.5,2.16,1.0,1.87,1.99,7.0,1.46
344,4.38,1.26,1.0,1.14,1.3,3.3,4.0,1.48
345,2.45,1.14,1.77,1.0,1.43,1.99,7.0,1.49
346,3.25,1.21,1.29,1.12,1.44,2.43,7.0,1.51
347,2.61,1.26,1.68,1.0,1.26,1.77,7.0,1.4
348,1.16,1.32,1.1,1.0,1.86,1.11,7.0,1.03
349,1.96,1.48,1.0,1.0,1.43,1.66,4.0,1.24
350,9.36,1.09,1.0,1.0,1.19,6.71,4.0,1.54
351,1.4,1.39,1.39,1.0,1.97,1.55,7.0,1.34
352,3.57,1.14,1.19,1.0,1.31,2.76,7.0,1.34
353,1.35,1.15,1.29,1.0,1.36,2.21,7.0,1.15
354,3.09,1.15,1.0,1.0,1.29,2.43,4.0,1.18
355,2.29,1.32,2.65,1.37,2.14,1.44,7.0,1.61
356,2.29,1.2,1.39,1.17,1.77,1.88,7.0,1.36
357,1.6,1.21,1.39,1.08,1.3,3.96,7.0,1.67
358,1.32,4.21,1.1,1.29,3.36,1.22,7.0,1.33
359,1.48,1.43,1.19,1.0,1.52,1.33,4.0,1.2
360,1.16,1.32,1.1,1.0,1.71,1.11,7.0,1.01
361,2.69,1.2,1.19,1.2,1.27,3.3,4.0,1.63
362,1.64,1.0,1.0,1.0,1.46,1.44,4.0,1.15
363,2.29,1.16,1.0,1.0,1.29,1.88,4.0,1.08
364,1.8,1.26,1.58,1.95,1.91,2.1,4.0,1.49
365,1.51,1.17,1.87,1.62,1.44,3.09,7.0,1.69
366,1.32,1.16,1.58,1.0,3.43,1.11,7.0,1.15
367,3.41,1.41,1.58,1.0,1.41,2.65,7.0,1.45
368,3.57,1.27,5.16,2.59,1.7,4.29,7.0,4.35
369,1.48,1.96,3.81,1.0,6.76,1.33,7.0,1.46
370,1.32,1.32,1.0,2.73,1.0,1.22,1.0,1.07
371,1.96,1.29,2.26,1.08,1.51,3.52,7.0,1.96
372,1.56,1.14,1.0,1.52,1.43,1.77,4.0,1.18
373,2.12,1.48,2.45,1.0,1.83,1.11,7.0,1.62
374,3.57,1.62,1.48,1.0,1.29,2.76,4.0,1.31
375,2.45,1.11,1.68,1.54,1.67,1.77,7.0,1.41
376,3.25,1.3,1.19,1.28,1.6,2.54,4.0,1.4
377,1.16,5.82,2.06,1.16,9.71,1.11,7.0,1.39
378,1.72,1.25,1.19,1.0,1.35,1.99,7.0,1.42
379,1.56,1.51,4.29,1.0,5.41,1.44,7.0,2.4
380,2.29,1.2,2.35,1.0,2.38,1.77,7.0,1.49
381,3.09,1.0,1.48,1.0,1.63,2.43,7.0,1.5
382,1.32,1.16,1.1,2.21,1.68,1.88,4.0,1.4
383,3.09,1.22,1.77,2.58,1.2,2.21,7.0,1.45
384,1.8,1.06,1.0,1.0,1.57,1.55,4.0,1.14
385,1.25,1.12,1.0,1.0,1.34,4.95,4.0,1.88
386,1.48,1.32,1.29,1.0,2.19,1.33,7.0,1.23
387,1.16,1.0,1.0,1.0,1.29,1.11,4.0,2.14
388,1.64,1.0,1.19,1.0,1.43,1.44,7.0,1.07
389,2.04,1.22,1.29,1.14,1.36,2.43,7.0,1.27
390,1.93,1.43,3.32,1.0,1.76,3.85,7.0,2.47
391,2.93,1.16,1.58,1.0,1.36,2.32,7.0,1.23
392,1.8,1.1,1.48,1.49,1.23,1.99,7.0,1.17
393,3.09,1.22,1.39,1.11,1.4,2.43,7.0,1.35
394,1.32,1.64,1.58,1.0,2.29,1.44,7.0,1.28
395,4.54,1.32,1.97,1.0,1.57,3.41,7.0,1.7
396,1.56,1.14,1.48,1.0,1.49,1.77,7.0,1.22
397,1.16,1.43,1.77,3.25,3.52,1.33,7.0,1.63
398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.41
399,10.0,1.15,1.0,1.0,1.29,7.15,4.0,1.8
400,3.89,1.02,1.0,1.0,1.3,2.87,4.0,1.4
401,2.45,1.32,1.0,1.0,1.56,1.99,4.0,1.38
402,2.45,1.18,1.48,1.0,1.62,1.99,7.0,1.27
403,2.61,1.03,1.0,1.0,1.3,2.1,4.0,1.24
404,1.48,1.86,1.0,1.0,1.29,1.33,4.0,1.12
405,1.48,1.07,1.1,1.0,1.29,1.99,7.0,1.28
406,5.66,1.0,1.0,1.0,1.54,4.18,4.0,1.66
407,1.11,2.77,1.0,1.16,2.07,1.44,4.0,1.52
408,1.48,1.75,1.19,3.18,1.24,1.11,7.0,1.21
